Notifying Member,Distribution date,Document symbol,Title,Description,Products covered,ICS code(s),Objectives,Keywords,Specific regions or countries likely to be affected,Final date for comments,Notification type,HS code(s),示例,,,,,
China,23/08/2022, G/TBT/N/CHN/1695,"National Standard of the P.R.C., Protective Device against Unauthorized Use of Motor Vehicles","This document specifies the technical requirements and test methods for protective device against unauthorized use of motor vehicles.
This document applies to vehicles  of category M and N.",Vehicles  (HS code(s): 87); (ICS code(s): 43.040.60),43.040.60 - Bodies and body components,Protection of human health or safety (TBT); Other (TBT),,,22/10/2022,Regular notification,"87 - VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF",,,,,,
China,11/08/2022, G/TBT/N/CHN/1689,Amendment to Passenger Cars Corporate Average Fuel Consumption And New Energy Vehicles Credits Regulation,"This document specifies the requirements for CAFC & NEV credits calculation, trading and management for passenger car enterprises under the new situation.",Passenger car （including New Energy Vehicle） (HS code(s): 8703); (ICS code(s): 43.060; 43.080.01; 43.100; 75.160),43.060 - Internal combustion engines for road vehicles; 43.080.01 - Commercial vehicles in general; 43.100 - Passenger cars. Caravans and light trailers; 75.160 - Fuels,Protection of the environment (TBT),,,10/10/2022,Regular notification,"8703 - Motor cars and other motor vehicles principally designed for the transport of <10 persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702)",,,,,,
China,20/07/2022, G/TBT/N/CHN/1688,Notice about Extending the Using Deadline of the Remaining Packaging Materials for Solid Beverages Enterprises,"In order to reduce the waste and help enterprises solve problems, the Notice about Extending the Using Deadline of the Remaining Packaging Materials for Solid Beverages Enterprises (here referred to as the Notice) was issued. The Notice stipulates that the existing packaging materials of solid beverages that have not been used up before June 1,2022 can be used until December 31,2022.",Pre-packaged food (solid beverages) (ICS code(s): 67.160.20),67.160.20 - Non-alcoholic beverages,"Prevention of deceptive practices and consumer protection (TBT); Protection of human health or safety (TBT); Consumer information, labelling (TBT); Reducing trade barriers and facilitating trade (TBT)",Food standards,,18/09/2022,Regular notification,,,,,,,
China,15/07/2022, G/TBT/N/CHN/1685,"National Standard of the P.R.C., Safety Requirements for Civil Unmanned Aircraft Product","This document specifies the safety requirements and test methods for civil unmanned aircraft products.This document applies to micro, light and small unmanned aircraft other than model aircraft.","Micro, light and small civil unmanned aircraft products other than model aircraft (HS code(s): 88); (ICS code(s): 49.020)",49.020 - Aircraft and space vehicles in general,Protection of human health or safety (TBT); Quality requirements (TBT),,,13/09/2022,Regular notification,"88 - AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",,,,,,
China,15/07/2022, G/TBT/N/CHN/1684,"National Standard of the P.R.C., Respiratory Protection—Air Line Respirators","This document specifies the product classification, components, technical requirements, test methods and marking of air-line respirators.This document applies to occupational workplaces where air-line respirators are required.This document does not apply to fire-fighting workplaces.",Air line respirators (HS code(s): 9020); (ICS code(s): 13.340.30),13.340.30 - Respiratory protective devices,Protection of human health or safety (TBT); Quality requirements (TBT); Harmonization (TBT),,,13/09/2022,Regular notification,"9020 - Breathing appliances and gas masks (excl. protective masks having neither mechanical parts nor replaceable filters, and artificial respiration or other therapeutic respiration apparatus)",,,,,,
China,15/07/2022, G/TBT/N/CHN/1687,"National Standard of the P.R.C., General Requirements for Safety of Rotating Electrical Machines","This document specifies the general safety technical requirements, test and inspection rules for rotating electrical machines.This document applies to all rotating electrical machines (including motors and generators) except electrical machines specified in other national standards (such as aerospace electrical machines, traction electrical machines, etc.). Other types of motors can use this document for reference.",rotating electrical machines（except aerospace electrical machines and traction electrical machines） (HS code(s): 850132); (ICS code(s): 29.160.01),29.160.01 - Rotating machinery in general,Protection of human health or safety (TBT); Protection of the environment (TBT); Quality requirements (TBT); Harmonization (TBT),,,13/09/2022,Regular notification,850132 - DC motors and DC generators of an output > 750 W but <= 75 kW,,,,,,
China,15/07/2022, G/TBT/N/CHN/1682,Provisions for the Supervision of Cosmetics Sampling and Testing (Draft),"The document is to strengthen the supervision of sampling and  testing for cosmetics ,promote the development of cosmetics industry and safeguard the consumers’ health.",Cosmetics (HS code(s): 33); (ICS code(s): 71.100.70),71.100.70 - Cosmetics. Toiletries,Protection of human health or safety (TBT),Human health,,13/09/2022,Regular notification,"33 - ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS",,,,,,
China,15/07/2022, G/TBT/N/CHN/1686,"National Standard of the P.R.C.,Non-destructive Testing Instruments—Protection Rules for Industrial X-ray Radiographic Equipment up to 500kV","This  document specifies the protection performance requirements of X-ray radiographic equipment up to 500kV（Hereinafter referred to as X-ray equipment, including general structure X-ray equipment, fine structure X-ray equipment, special protection X-ray equipment, full protection X-ray equipment, etc.）,structural protection requirements of X-ray equipment,and requirements of X - ray protection during use, protection of inspection site, use rules and monitoring.This  document applies to the design, manufacture, installation and use of X-ray radiographic equipment up to 500kV.",Industrial X-ray Radiographic Equipment up to 500kV (HS code(s): 902219); (ICS code(s): 19.100),19.100 - Non-destructive testing,Protection of human health or safety (TBT),,,13/09/2022,Regular notification,"902219 - Apparatus based on the use of X-rays (other than for medical, surgical, dental or veterinary uses)",,,,,,
China,15/07/2022, G/TBT/N/CHN/1683,"National Standard of the P.R.C., Technical Specification for Optical Radiation Safety","This document specifies the general requirements for the risk classification, labeling, safety control and measurement methods for the safety of optical radiation in laser products, incoherent light products, and their working processes.This document applies to the optical radiation safety control and management of laser products emitting laser radiation in the wavelength range 180 nm to 1 mm, incoherent light products in the wavelength range 200 nm to 3 μm, and their working processes.",laser products and incoherent light products (HS code(s): 70; 74; 75; 90; 94; 95); (ICS code(s): 31.260),31.260 - Optoelectronics. Laser equipment,"Harmonization (TBT); Consumer information, labelling (TBT); Protection of human health or safety (TBT)",,,13/09/2022,Regular notification,"70 - GLASS AND GLASSWARE; 74 - COPPER AND ARTICLES THEREOF; 75 - NICKEL AND ARTICLES THEREOF; 90 - OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF; 94 - FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHINGS; LAMPS AND LIGHTING FITTINGS, NOT ELSEWHERE SPECIFIED OR INCLUDED; ILLUMINATED SIGNS, ILLUMINATED NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS; 95 - TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF",,,,,,
China,24/06/2022, G/TBT/N/CHN/1681,Global Maritime Distress and Safety System—Performance and Test Requirements for Automatic Identification System Search and Rescue Transmitter,"This document specifies the performance requirements, technical requirements, test methods  and required test results for the Global Maritime Distress and Safety System Automatic Identification System Search and Rescue transmitter.
This document applies to the design, production, testing and use of the Global Maritime Distress and Safety System Automatic Identification System Search and Rescue transmitter.",Automatic identification system search and rescue transmitter (HS code(s): 852691); (ICS code(s): 03.220.40; 33.060),03.220.40 - Transport by water; 33.060 - Radiocommunications,Protection of human health or safety (TBT),Human health,,23/08/2022,Regular notification,852691 - Radio navigational aid apparatus,,,,,,
China,24/05/2022, G/TBT/N/CHN/447/Add.1,Amendment No.1 of GB 23350-2021 Restriction of Excessive Packaging requirements for Food and Cosmetics,"The number of packaging layers, packaging costs, mixed packaging requirements, and the classification and k value of commodity pastries in Appendix A.1 have been added, and the standard implementation requirements have been partly revised.",Foods and cosmetics (ICS:  55.020),13.030 - Wastes; 55.020 - Packaging and distribution of goods in general; 55.020 - Packaging and distribution of goods in general,,,,,Addendum to Regular Notification,,,,,,,
China,19/05/2022, G/TBT/N/CHN/1145/Add.1,Domestic Gas Cooking Appliances,"Revised content：
1) In ""5.3.8.8"", ""during normal use, the structure of the stove shall make its electrical insulation free from the influence of water that may condense on the cold surface or liquid that may leak. Its protection grade shall not be lower than IPX3 and tested according to the provisions of 14.2 in GB / T 4208-2017"" is changed to ""In normal use, the structure of the stove shall make its electrical insulation free from the influence of water that may condense on the cold surface or liquid that may leak. The protection grade of the stove installed outdoors shall not be lower than IPX3 and tested according to the provisions of 14.2 in GB / T 4208-2017"".
2) In Clause 5.3.8.27 a), replace ""the stove with rated current not exceeding 16 A shall be connected to the power supply with power cord with plug"" with the following:
a) One of the following devices shall be provided for the stove with no more than 16A of rated current:
——supply cord fitted with a plug;
——an appliance inlet having at least the same degree of protection against moisture as required
for the appliance;
3)In “6.12，table 21，Valve closing time"",  ""Test conditions: use 3-3 gas""  is changed to ""Test conditions: use 1-1 gas"".",Domestic gas appliances and gas-electric combined stove,"97.040.20 - Cooking ranges, working tables, ovens and similar appliances; 97.040.20 - Cooking ranges, working tables, ovens and similar appliances",Protection of human health or safety (TBT),,,,Addendum to Regular Notification,"732111 - Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of iron or steel, for gas fuel or for both gas and other fuels (excl. large cooking appliances); 732111 - Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of iron or steel, for gas fuel or for both gas and other fuels (excl. large cooking appliances)",,,,,,
China,18/05/2022, G/TBT/N/CHN/1679,"National Standard of the P.R.C., Safety Requirements for Coal Mining Cable","This document stipulates the safety terms, definitions, technical requirements and test methods of cables used in coal mines.This document applies to mobile laying flexible cables, fixed laying power cables, control cables, communication cables and optical cables for coal mines with rated voltage of 8.7/10 kV and below.","Mobile flexible cable, power cable, control cable, communication cable and optical cable for coal mine (HS code(s): 85444; 854460; 854470); (ICS code(s): 29.060.20)",29.060.20 - Cables,Protection of human health or safety (TBT),,,17/07/2022,Regular notification,"854460 - Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.; 85444 - - Other electric conductors, for a voltage not exceeding 1,000 V :; 854470 - Optical fibre cables made up of individually sheathed fibres, whether or not containing electric conductors or fitted with connectors",,,,,,
China,18/05/2022, G/TBT/N/CHN/1680,"National Standard of the P.R.C.,Technical Requirements of Coal Mine Compressed Air Self-rescue System","This document stipulates the installation and maintenance requirements of coal mine compressed air self-rescue system. It also stipulates the classification, model, test methods, inspection rules, identification, and the documents with the product of the compressed air self-rescue device.
This document applies to the installation and maintenance of coal mine compressed air self-rescue system, as well as the design, manufacture, inspection and use of compressed air self-rescue device.",Compressed Air Self-rescue Device (HS code(s): 9020); (ICS code(s): 13.340.30),13.340.30 - Respiratory protective devices,Protection of human health or safety (TBT); Quality requirements (TBT),,,17/07/2022,Regular notification,"9020 - Breathing appliances and gas masks (excl. protective masks having neither mechanical parts nor replaceable filters, and artificial respiration or other therapeutic respiration apparatus)",,,,,,
China,18/05/2022, G/TBT/N/CHN/1677,"National Standard of the P.R.C., Medical electrical equipment –Part 2-71: Particular requirements for the basic safety and essential performance of functional near-infrared spectroscopy (NIRS) equipment","This document applies to the basic safety and essential performance of functional NIRS equipment intended to be used by themselves, or as a part of an ME system, for adjunctive diagnostic purposes.Not included within the scope of this particular standard are:
a) the equipment, as a part of ME equipment,  measures oxygen saturation of the haemoglobin in the micro vessels (capillaries, arterioles and venules);
b) near-infrared spectroscopy (NIRS) tissue oximeter equipment, which is not intended for obtaining functional NIRS equipment output;
c) pulse oximeter equipment, which is not intended for obtaining functional NIRS equipment output. The requirements for pulse oximeter equipment are found in YY 9706.261.
d) frequency-domain and time-domain equipment for functional near-infrared spectroscopy may be subject to different test procedures than those defined herein.
e) functional near-infrared spectroscopy equipment, which measure changes in the concentration of chromophores other than oxy- and deoxy-haemoglobin may be subject to different test procedures than those defined herein.","Near infrared functional brain imaging device, near infrared spectral functional brain imaging system, quantitative brain function imaging device (HS code(s): 901820; 902750; 903149); (ICS code(s): 11.040.55)",11.040.55 - Diagnostic equipment,Protection of human health or safety (TBT),Human health,,17/07/2022,Regular notification,"901820 - Ultraviolet or infra-red ray apparatus used in medical, surgical, dental or veterinary sciences; 903149 - Optical instruments, appliances and machines for measuring or checking, not elsewhere specified or included in chapter 90; 902750 - Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical radiations (excl. spectrometers, spectrophotometers, spectrographs, and gas or smoke analysis apparatus)",,,,,,
China,18/05/2022, G/TBT/N/CHN/1678,"National Standard of the P.R.C., Self-rescuer For Coal Mine","This document stipulates the category, technical requirements, testing methods, inspection rules, marking, packing, transportation and storage of coal mine self-rescuer( including chemical oxygen self-rescuer and compressed oxygen self-rescuer).
This document applies to chemical oxygen self-rescuer  and compressed oxygen self-rescuer used in coal mines.",Self-rescuer for coal mine(including chemical  oxygen self-rescuer and compressed oxygen self-rescuer) (HS code(s): 9020); (ICS code(s): 13.100),13.100 - Occupational safety. Industrial hygiene,Protection of human health or safety (TBT); Quality requirements (TBT),,,17/07/2022,Regular notification,"9020 - Breathing appliances and gas masks (excl. protective masks having neither mechanical parts nor replaceable filters, and artificial respiration or other therapeutic respiration apparatus)",,,,,,
China,26/04/2022, G/TBT/N/CHN/1676,Detailed Implementation  Regulation on Electronic Cigarette Packaging,"This document specifies the requirements on electronic cigarettes, including the basic unit of measurement, packaging units, product quantity contained in each grade of packaging and packaging specifications, etc.This document shall be applicable for electronic cigarettes (including electronic cigarettes devices, pods, disposable electronic cigarettes, electronic cigarettes product sets according to relevant national standards) and their sales packaging sold within the territory of the P.R.China. And it put forward relevant requirements on electronic cigarettes (including electronic cigarettes devices, pods, disposable electronic cigarettes, electronic cigarettes product sets according to relevant national standards) for export.",Electronic cigarette (HS code(s): 24); (ICS code(s): 65.160),"65.160 - Tobacco, tobacco products and related equipment",Prevention of deceptive practices and consumer protection (TBT); Other (TBT),Packaging,,,Regular notification,24 - TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,,,,,,
China,26/04/2022, G/TBT/N/CHN/1675,Regulation on the Warning Signs of the Electronic Cigarettes,"This document specifies the contents, location, area, font size, rotation and other requirements on the warning signs of the electronic cigarettes and their packaging. This document shall be applicable for the electronic cigarettes and their sales packaging sold within the territory of the P.R.China.",Electronic cigarette (HS code(s): 24); (ICS code(s): 65.160),"65.160 - Tobacco, tobacco products and related equipment","Consumer information, labelling (TBT); Other (TBT)",Labelling,,,Regular notification,24 - TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,,,,,,
China,25/04/2022, G/TBT/N/CHN/1673,Key Points and Judgment Principles of GMP Inspection for Cosmetics (Draft),"The document is to strengthen the supervision of cosmestics safety and quality,promote the development of cosmetics industry,and protect the health rights of consumers.",Cosmetics (ICS code(s): 71.100.70),71.100.70 - Cosmetics. Toiletries,Protection of human health or safety (TBT); Quality requirements (TBT),Human health,,24/06/2022,Regular notification,,,,,,,
China,25/04/2022, G/TBT/N/CHN/1674, Safety and Technical Standards for Cosmetics (2022)(Draft),"The document is to ensure the safety of cosmetics, promote the  scientific supervision of cosmetics, promote the development of cosmetics industry and  protect the health rights of  consumers.", Cosmetics (ICS code(s): 71.100.70),71.100.70 - Cosmetics. Toiletries,Protection of human health or safety (TBT),Human health,,24/06/2022,Regular notification,,,,,,,
